Fips,County,State,DesignationCode,DeclarationNumber,DisasterDescription,DisasterYear
06037,Los Angeles,California,1,4856,Wildfires and Straight-line Winds,2025
06029,Kern,California,2,4856,Wildfires and Straight-line Winds,2025
06059,Orange,California,2,4856,Wildfires and Straight-line Winds,2025
06071,San Bernardino,California,2,4856,Wildfires and Straight-line Winds,2025
06111,Ventura,California,2,4856,Wildfires and Straight-line Winds,2025
21025,Breathitt,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21051,Clay,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21095,Harlan,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21119,Knott,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21129,Lee,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21133,Letcher,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21159,Martin,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21189,Owsley,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21193,Perry,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21195,Pike,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21071,Floyd,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21065,Estill,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21115,Johnson,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21213,Simpson,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21007,Ballard,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21009,Barren,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21031,Butler,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21087,Green,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21099,Hart,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21157,Marshall,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21169,Metcalfe,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21203,Rockcastle,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21215,Spencer,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21231,Wayne,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21003,Allen,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21019,Boyd,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21033,Caldwell,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21039,Carlisle,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21055,Crittenden,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21105,Hickman,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21171,Monroe,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21177,Muhlenberg,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21183,Ohio,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21001,Adair,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
21013,Bell,Kentucky,1,4860,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",2025
